MUNICIPIO,CNAE,TOTAL
DUQUE DE CAXIAS,2342702,4
DUQUE DE CAXIAS,2330399,56
DUQUE DE CAXIAS,2319200,9
DUQUE DE CAXIAS,2229399,29
DUQUE DE CAXIAS,2219600,28
DUQUE DE CAXIAS,1822901,22
DUQUE DE CAXIAS,1821100,81
DUQUE DE CAXIAS,1813099,79
DUQUE DE CAXIAS,1813001,72
DUQUE DE CAXIAS,1749400,174
DUQUE DE CAXIAS,1732000,8
DUQUE DE CAXIAS,1731100,9
DUQUE DE CAXIAS,1721400,2
DUQUE DE CAXIAS,1629302,46
DUQUE DE CAXIAS,1629301,72
DUQUE DE CAXIAS,1623400,5
DUQUE DE CAXIAS,1622699,96
DUQUE DE CAXIAS,1540800,6
DUQUE DE CAXIAS,1539400,19
DUQUE DE CAXIAS,1531902,54
DUQUE DE CAXIAS,1531901,10
DUQUE DE CAXIAS,1529700,41
DUQUE DE CAXIAS,1521100,51
DUQUE DE CAXIAS,1422300,47
DUQUE DE CAXIAS,1421500,1
DUQUE DE CAXIAS,1414200,6
DUQUE DE CAXIAS,1413403,54
DUQUE DE CAXIAS,1412603,193
DUQUE DE CAXIAS,1412602,716
DUQUE DE CAXIAS,1412601,840
DUQUE DE CAXIAS,1411802,17
DUQUE DE CAXIAS,1411801,28
DUQUE DE CAXIAS,1359600,173
DUQUE DE CAXIAS,1353700,4
DUQUE DE CAXIAS,1352900,4
DUQUE DE CAXIAS,1351100,15
DUQUE DE CAXIAS,1340599,100
DUQUE DE CAXIAS,1340501,104
DUQUE DE CAXIAS,1322700,5
DUQUE DE CAXIAS,1321900,1
DUQUE DE CAXIAS,1220499,1
DUQUE DE CAXIAS,1099699,1
DUQUE DE CAXIAS,1099605,4
DUQUE DE CAXIAS,1099604,11
DUQUE DE CAXIAS,1099601,2
DUQUE DE CAXIAS,1096100,206
DUQUE DE CAXIAS,1095300,11
DUQUE DE CAXIAS,1094500,177
DUQUE DE CAXIAS,1093702,11
DUQUE DE CAXIAS,1093701,75
DUQUE DE CAXIAS,1092900,28
DUQUE DE CAXIAS,1091102,1481
DUQUE DE CAXIAS,1091101,257
DUQUE DE CAXIAS,1071600,1
DUQUE DE CAXIAS,1069400,1
DUQUE DE CAXIAS,1065101,1
DUQUE DE CAXIAS,1063500,1
DUQUE DE CAXIAS,1061902,1
DUQUE DE CAXIAS,1052000,17
DUQUE DE CAXIAS,1033302,12
DUQUE DE CAXIAS,1033301,3
DUQUE DE CAXIAS,1032599,3
DUQUE DE CAXIAS,1031700,15
DUQUE DE CAXIAS,1013901,22
DUQUE DE CAXIAS,322104,5
DUQUE DE CAXIAS,161003,139
DUQUE DE CAXIAS,161002,26
DUQUE DE CAXIAS,159802,39
DUQUE DE CAXIAS,159801,3
DUQUE DE CAXIAS,121101,4
